trial,condition,response,correct,fc,ft,Lt,reversal,timestamp
1,signal_interval=2,2,1,4000.0,1000.0,-40.00,0,2025-08-30 14:41:40
2,signal_interval=2,2,1,4000.0,1000.0,-42.00,0,2025-08-30 14:41:46
3,signal_interval=2,2,1,4000.0,1000.0,-44.00,0,2025-08-30 14:41:52
4,signal_interval=2,2,1,4000.0,1000.0,-46.00,0,2025-08-30 14:41:57
5,signal_interval=2,2,1,4000.0,1000.0,-48.00,0,2025-08-30 14:42:03
6,signal_interval=1,2,0,4000.0,1000.0,-50.00,1,2025-08-30 14:42:08
7,signal_interval=1,2,0,4000.0,1000.0,-48.00,0,2025-08-30 14:42:14
8,signal_interval=2,2,1,4000.0,1000.0,-47.00,0,2025-08-30 14:42:19
9,signal_interval=1,1,1,4000.0,1000.0,-47.00,1,2025-08-30 14:42:25
10,signal_interval=2,2,1,4000.0,1000.0,-48.00,0,2025-08-30 14:42:30
11,signal_interval=1,1,1,4000.0,1000.0,-48.00,0,2025-08-30 14:42:37
12,signal_interval=2,1,0,4000.0,1000.0,-49.00,1,2025-08-30 14:42:43
13,signal_interval=2,2,1,4000.0,1000.0,-48.00,0,2025-08-30 14:42:49
14,signal_interval=2,2,1,4000.0,1000.0,-48.00,1,2025-08-30 14:42:54
15,signal_interval=2,2,1,4000.0,1000.0,-49.00,0,2025-08-30 14:43:00
16,signal_interval=2,2,1,4000.0,1000.0,-49.00,0,2025-08-30 14:43:05
17,signal_interval=1,2,0,4000.0,1000.0,-50.00,1,2025-08-30 14:43:11
18,signal_interval=1,1,1,4000.0,1000.0,-49.00,0,2025-08-30 14:43:16
19,signal_interval=1,2,0,4000.0,1000.0,-49.00,0,2025-08-30 14:43:21
20,signal_interval=1,1,1,4000.0,1000.0,-48.00,0,2025-08-30 14:43:27
21,signal_interval=2,2,1,4000.0,1000.0,-48.00,1,2025-08-30 14:43:32
