subject_id,itd_us,track,trial_no,level_db,response,is_reversal
P01,0,B,1,-78.0000,continuous,0
P01,0,B,2,-76.0000,continuous,0
P01,0,B,3,-76.0000,continuous,0
P01,0,A,4,-38.0000,pulsating,0
P01,0,B,5,-74.0000,continuous,0
P01,0,A,6,-40.0000,pulsating,0
P01,0,A,7,-40.0000,pulsating,0
P01,0,B,8,-74.0000,continuous,0
P01,0,B,9,-72.0000,continuous,0
P01,0,B,10,-72.0000,continuous,0
P01,0,B,11,-70.0000,continuous,0
P01,0,B,12,-70.0000,continuous,0
P01,0,A,13,-42.0000,pulsating,0
P01,0,A,14,-42.0000,pulsating,0
P01,0,B,15,-68.0000,continuous,0
P01,0,B,16,-68.0000,continuous,0
P01,0,A,17,-44.0000,pulsating,0
P01,0,B,18,-66.0000,continuous,0
P01,0,B,19,-66.0000,continuous,0
P01,0,B,20,-64.0000,continuous,0
P01,0,B,21,-64.0000,continuous,0
P01,0,A,22,-44.0000,pulsating,0
P01,0,B,23,-62.0000,continuous,0
P01,0,A,24,-46.0000,pulsating,0
P01,0,A,25,-46.0000,pulsating,0
P01,0,A,26,-48.0000,pulsating,0
P01,0,A,27,-48.0000,pulsating,0
P01,0,A,28,-50.0000,pulsating,0
P01,0,B,29,-64.0000,pulsating,1
P01,0,A,30,-50.0000,pulsating,0
P01,0,B,31,-66.0000,pulsating,0
P01,0,B,32,-66.0000,continuous,0
P01,0,B,33,-65.0000,continuous,1
P01,0,A,34,-52.0000,pulsating,0
P01,0,A,35,-52.0000,pulsating,0
P01,0,A,36,-54.0000,pulsating,0
P01,0,A,37,-54.0000,pulsating,0
P01,0,B,38,-65.0000,continuous,0
P01,0,B,39,-64.0000,continuous,0
P01,0,A,40,-56.0000,pulsating,0
P01,0,B,41,-64.0000,continuous,0
P01,0,A,42,-56.0000,pulsating,0
P01,0,B,43,-63.0000,continuous,0
P01,0,A,44,-58.0000,pulsating,0
P01,0,B,45,-63.0000,continuous,0
P01,0,B,46,-64.0000,pulsating,1
P01,0,B,47,-64.0000,continuous,0
P01,0,B,48,-63.0000,continuous,1
P01,0,B,49,-64.0000,pulsating,1
P01,0,B,50,-64.0000,continuous,0
P01,0,B,51,-63.0000,continuous,1
P01,0,B,52,-64.0000,pulsating,1
P01,0,B,53,-65.0000,pulsating,0
P01,0,B,54,-65.0000,continuous,0
P01,0,B,55,-64.0000,continuous,1
P01,0,A,56,-58.0000,pulsating,0
P01,0,A,57,-60.0000,pulsating,0
P01,0,A,58,-60.0000,pulsating,0
P01,0,A,59,-62.0000,pulsating,0
P01,0,A,60,-60.0000,continuous,1
P01,0,A,61,-58.0000,continuous,0
P01,0,A,62,-58.0000,pulsating,0
P01,0,A,63,-56.0000,continuous,0
P01,0,A,64,-56.0000,pulsating,0
P01,0,A,65,-57.0000,pulsating,1
P01,0,A,66,-57.0000,pulsating,0
P01,0,A,67,-56.0000,continuous,1
P01,0,A,68,-55.0000,continuous,0
P01,0,A,69,-55.0000,pulsating,0
P01,0,A,70,-56.0000,pulsating,1
P01,0,A,71,-56.0000,pulsating,0
P01,0,A,72,-57.0000,pulsating,0
P01,0,A,73,-57.0000,pulsating,0
P01,0,A,74,-56.0000,continuous,1
P01,0,A,75,-56.0000,pulsating,0
P01,0,A,76,-55.0000,continuous,0
P01,0,A,77,-55.0000,pulsating,0
P01,0,A,78,-54.0000,continuous,0
P01,0,A,79,-53.0000,continuous,0
P01,0,A,80,-53.0000,pulsating,0
P01,0,A,81,-54.0000,pulsating,1
P01,0,A,82,-54.0000,pulsating,0
P01,0,A,83,-55.0000,pulsating,0
P01,0,A,84,-55.0000,pulsating,0
P01,0,A,85,-56.0000,pulsating,0
P01,0,A,86,-55.0000,continuous,1
P01,0,A,87,-55.0000,pulsating,0
P01,0,A,88,-54.0000,continuous,0
P01,0,A,89,-54.0000,pulsating,0
P01,0,A,90,-53.0000,continuous,0
P01,0,A,91,-53.0000,pulsating,0
P01,0,A,92,-54.0000,pulsating,1
