subject_id,sl_reference_db,test_freq,mod_freq,mod_type,masker_itd_us,itd_us,track,trial_no,level_db,response,is_reversal
P01,-80.0,4000.0,250.0,Transposed,0,400,A,1,-25.0000,pulsating,0
P01,-80.0,4000.0,250.0,Transposed,0,400,B,2,-60.0000,continuous,0
P01,-80.0,4000.0,250.0,Transposed,0,400,B,3,-58.0000,continuous,0
P01,-80.0,4000.0,250.0,Transposed,0,400,B,4,-58.0000,continuous,0
P01,-80.0,4000.0,250.0,Transposed,0,400,B,5,-60.0000,pulsating,1
P01,-80.0,4000.0,250.0,Transposed,0,400,A,6,-27.0000,pulsating,0
P01,-80.0,4000.0,250.0,Transposed,0,400,B,7,-60.0000,continuous,0
P01,-80.0,4000.0,250.0,Transposed,0,400,A,8,-27.0000,pulsating,0
P01,-80.0,4000.0,250.0,Transposed,0,400,A,9,-29.0000,pulsating,0
P01,-80.0,4000.0,250.0,Transposed,0,400,B,10,-59.0000,continuous,1
P01,-80.0,4000.0,250.0,Transposed,0,400,A,11,-29.0000,pulsating,0
P01,-80.0,4000.0,250.0,Transposed,0,400,A,12,-31.0000,pulsating,0
P01,-80.0,4000.0,250.0,Transposed,0,400,A,13,-31.0000,pulsating,0
P01,-80.0,4000.0,250.0,Transposed,0,400,B,14,-59.0000,continuous,0
P01,-80.0,4000.0,250.0,Transposed,0,400,A,15,-33.0000,pulsating,0
P01,-80.0,4000.0,250.0,Transposed,0,400,A,16,-33.0000,pulsating,0
P01,-80.0,4000.0,250.0,Transposed,0,400,B,17,-58.0000,continuous,0
P01,-80.0,4000.0,250.0,Transposed,0,400,B,18,-58.0000,continuous,0
P01,-80.0,4000.0,250.0,Transposed,0,400,B,19,-57.0000,continuous,0
P01,-80.0,4000.0,250.0,Transposed,0,400,A,20,-35.0000,pulsating,0
P01,-80.0,4000.0,250.0,Transposed,0,400,A,21,-35.0000,pulsating,0
P01,-80.0,4000.0,250.0,Transposed,0,400,B,22,-57.0000,continuous,0
P01,-80.0,4000.0,250.0,Transposed,0,400,B,23,-58.0000,pulsating,1
P01,-80.0,4000.0,250.0,Transposed,0,400,A,24,-37.0000,pulsating,0
