trial,condition,response,correct,fc,ft,Lt,reversal,timestamp
1,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,900.0,-25.00,0,2025-08-30 21:25:31
2,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,900.0,-27.00,0,2025-08-30 21:25:37
3,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,900.0,-29.00,0,2025-08-30 21:25:43
4,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,900.0,-31.00,0,2025-08-30 21:25:50
5,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,900.0,-33.00,0,2025-08-30 21:25:57
6,"signal1_interval=1, target=signal2, target_interval=2",1,0,1100.0,900.0,-35.00,1,2025-08-30 21:26:03
7,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,900.0,-33.00,0,2025-08-30 21:26:09
8,"signal1_interval=1, target=signal2, target_interval=2",1,0,1100.0,900.0,-33.00,0,2025-08-30 21:26:16
9,"signal1_interval=2, target=signal2, target_interval=1",2,0,1100.0,900.0,-32.00,0,2025-08-30 21:26:22
10,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,900.0,-31.00,0,2025-08-30 21:26:28
11,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,900.0,-31.00,1,2025-08-30 21:26:35
12,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,900.0,-32.00,0,2025-08-30 21:26:41
13,"signal1_interval=2, target=signal2, target_interval=1",2,0,1100.0,900.0,-32.00,1,2025-08-30 21:26:49
14,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,900.0,-31.00,0,2025-08-30 21:26:55
15,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,900.0,-31.00,1,2025-08-30 21:27:01
16,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,900.0,-32.00,0,2025-08-30 21:27:07
17,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,900.0,-32.00,0,2025-08-30 21:27:13
18,"signal1_interval=2, target=signal2, target_interval=1",2,0,1100.0,900.0,-33.00,1,2025-08-30 21:27:18
19,"signal1_interval=1, target=signal2, target_interval=2",1,0,1100.0,900.0,-32.00,0,2025-08-30 21:27:25
20,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,900.0,-31.00,0,2025-08-30 21:27:30
21,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,900.0,-31.00,1,2025-08-30 21:27:36
